Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,5,10.852754,6.332154,18.267232,26.746632,10.852754,6.332154,1
0.100000,6,10.988754,6.468154,18.267232,26.746632,10.988754,6.468154,1
0.100000,7,11.725085,7.204485,18.267232,26.746632,11.725085,7.204485,1
0.600000,5,13.239665,8.719065,20.005874,28.485274,13.239665,8.719065,1
0.600000,6,12.695593,8.174993,20.005874,28.485274,12.695593,8.174993,1
0.600000,7,11.750661,7.230061,20.005874,28.485274,11.750661,7.230061,1
1.100000,5,12.817325,8.296725,20.342531,28.821931,12.817325,8.296725,1
1.100000,6,13.157064,8.636464,20.342531,28.821931,13.157064,8.636464,1
1.100000,7,13.466134,8.945535,20.342531,28.821931,13.466134,8.945535,1
1.600000,5,14.244427,9.723827,17.369550,25.848950,14.244427,9.723827,1
1.600000,6,11.647649,7.127049,17.369550,25.848950,11.647649,7.127049,1
1.600000,7,9.513805,4.993205,17.369550,25.848950,9.513805,4.993205,1
2.100000,5,13.432931,8.912331,20.555794,29.035194,13.432931,8.912331,1
2.100000,6,10.246087,5.725487,20.555794,29.035194,10.246087,5.725487,1
2.100000,7,13.439405,8.918805,20.555794,29.035194,13.439405,8.918805,1
2.600000,5,12.974413,8.453813,20.749866,29.229266,12.974413,8.453813,1
2.600000,6,14.126693,9.606093,20.749866,29.229266,14.126693,9.606093,1
2.600000,7,11.347934,6.827334,20.749866,29.229266,11.347934,6.827334,1
3.100000,5,14.541341,10.020741,20.546697,29.026097,14.541341,10.020741,1
3.100000,6,16.386337,11.865737,20.546697,29.026097,16.386337,11.865737,1
3.100000,7,13.233026,8.712426,20.546697,29.026097,13.233026,8.712426,1
3.600000,5,12.859547,8.338947,20.000686,28.480086,12.859547,8.338947,1
3.600000,6,10.672489,6.151890,20.000686,28.480086,10.672489,6.151890,1
3.600000,7,7.967820,3.447220,20.000686,28.480086,7.967820,3.447220,1
4.100000,5,12.313430,7.792830,19.950103,28.429503,12.313430,7.792830,1
4.100000,6,12.268074,7.747474,19.950103,28.429503,12.268074,7.747474,1
4.100000,7,10.069121,5.548521,19.950103,28.429503,10.069121,5.548521,1
4.600000,5,13.665228,9.144628,13.847362,22.326762,13.665228,9.144628,1
4.600000,6,12.923697,8.403097,13.847362,22.326762,12.923697,8.403097,1
4.600000,7,10.976469,6.455869,13.847362,22.326762,10.976469,6.455869,1
5.100000,5,8.843371,4.322772,18.351662,26.831063,8.843371,4.322772,1
5.100000,6,10.692416,6.171816,18.351662,26.831063,10.692416,6.171816,1
5.100000,7,10.914363,6.393763,18.351662,26.831063,10.914363,6.393763,1
5.600000,5,13.097187,8.576587,18.513986,26.993386,13.097187,8.576587,1
5.600000,6,12.505994,7.985394,18.513986,26.993386,12.505994,7.985394,1
5.600000,7,14.106824,9.586224,18.513986,26.993386,14.106824,9.586224,1
6.100000,5,6.945738,2.425138,17.054143,25.533543,6.945738,2.425138,1
6.100000,6,13.353855,8.833255,17.054143,25.533543,13.353855,8.833255,1
6.100000,7,11.080296,6.559696,17.054143,25.533543,11.080296,6.559696,1
6.600000,5,13.602787,9.082187,18.611234,27.090634,13.602787,9.082187,1
6.600000,6,13.939133,9.418533,18.611234,27.090634,13.939133,9.418533,1
6.600000,7,14.963711,10.443112,18.611234,27.090634,14.963711,10.443112,1
7.100000,5,10.671079,6.150479,19.243930,27.723330,10.671079,6.150479,1
7.100000,6,10.344272,5.823672,19.243930,27.723330,10.344272,5.823672,1
7.100000,7,15.343268,10.822668,19.243930,27.723330,15.343268,10.822668,1
7.600000,5,11.748773,7.228173,14.797199,23.276599,11.748773,7.228173,1
7.600000,6,10.926434,6.405834,14.797199,23.276599,10.926434,6.405834,1
7.600000,7,8.060624,3.540024,14.797199,23.276599,8.060624,3.540024,1
8.100000,5,8.257136,3.736536,19.657373,28.136773,8.257136,3.736536,1
8.100000,6,7.968094,3.447495,19.657373,28.136773,7.968094,3.447495,1
8.100000,7,11.512968,6.992368,19.657373,28.136773,11.512968,6.992368,1
8.600000,5,10.606516,6.085916,19.786227,28.265627,10.606516,6.085916,1
8.600000,6,15.379942,10.859342,19.786227,28.265627,15.379942,10.859342,1
8.600000,7,13.903244,9.382644,19.786227,28.265627,13.903244,9.382644,1
9.100000,5,12.665328,8.144728,17.884083,26.363483,12.665328,8.144728,1
9.100000,6,14.084467,9.563868,17.884083,26.363483,14.084467,9.563868,1
9.100000,7,13.424764,8.904164,17.884083,26.363483,13.424764,8.904164,1
9.600000,5,10.716517,6.195917,19.395594,27.874994,10.716517,6.195917,1
9.600000,6,10.205904,5.685304,19.395594,27.874994,10.205904,5.685304,1
9.600000,7,14.988620,10.468020,19.395594,27.874994,14.988620,10.468020,1
10.100000,5,13.174795,8.654196,19.782965,28.262366,13.174795,8.654196,1
10.100000,6,10.566926,6.046326,19.782965,28.262366,10.566926,6.046326,1
10.100000,7,15.870496,11.349896,19.782965,28.262366,15.870496,11.349896,1
10.600000,5,12.609326,8.088726,20.310565,28.789965,12.609326,8.088726,1
10.600000,6,10.511800,5.991200,20.310565,28.789965,10.511800,5.991200,1
10.600000,7,12.149209,7.628610,20.310565,28.789965,12.149209,7.628610,1
11.100000,5,14.374569,9.853969,19.472392,27.951792,14.374569,9.853969,1
11.100000,6,11.345716,6.825116,19.472392,27.951792,11.345716,6.825116,1
11.100000,7,9.263106,4.742506,19.472392,27.951792,9.263106,4.742506,1
11.600000,5,13.579351,9.058751,17.435688,25.915088,13.579351,9.058751,1
11.600000,6,10.281930,5.761330,17.435688,25.915088,10.281930,5.761330,1
11.600000,7,12.017729,7.497129,17.435688,25.915088,12.017729,7.497129,1
12.100000,5,14.258396,9.737796,19.780524,28.259924,14.258396,9.737796,1
12.100000,6,10.022366,5.501766,19.780524,28.259924,10.022366,5.501766,1
12.100000,7,11.659809,7.139209,19.780524,28.259924,11.659809,7.139209,1
12.600000,5,13.450911,8.930311,19.001855,27.481255,13.450911,8.930311,1
12.600000,6,6.763968,2.243368,19.001855,27.481255,6.763968,2.243368,1
12.600000,7,7.484732,2.964132,19.001855,27.481255,7.484732,2.964132,1
13.100000,5,13.311804,8.791204,17.059021,25.538421,13.311804,8.791204,1
13.100000,6,10.642588,6.121989,17.059021,25.538421,10.642588,6.121989,1
13.100000,7,10.664231,6.143631,17.059021,25.538421,10.664231,6.143631,1
13.600000,5,10.346059,5.825459,18.834006,27.313407,10.346059,5.825459,1
13.600000,6,13.314035,8.793435,18.834006,27.313407,13.314035,8.793435,1
13.600000,7,11.814678,7.294078,18.834006,27.313407,11.814678,7.294078,1
14.100000,5,12.367501,7.846901,16.797809,25.277210,12.367501,7.846901,1
14.100000,6,12.246110,7.725510,16.797809,25.277210,12.246110,7.725510,1
14.100000,7,16.223066,11.702466,16.797809,25.277210,16.223066,11.702466,1
14.600000,5,10.711892,6.191292,19.925966,28.405366,10.711892,6.191292,1
14.600000,6,8.963616,4.443016,19.925966,28.405366,8.963616,4.443016,1
14.600000,7,13.368193,8.847593,19.925966,28.405366,13.368193,8.847593,1
15.100000,5,13.364443,8.843843,20.669822,29.149222,13.364443,8.843843,1
15.100000,6,11.331076,6.810476,20.669822,29.149222,11.331076,6.810476,1
15.100000,7,13.234679,8.714079,20.669822,29.149222,13.234679,8.714079,1
15.600000,5,13.516551,8.995952,20.973816,29.453216,13.516551,8.995952,1
15.600000,6,11.988705,7.468105,20.973816,29.453216,11.988705,7.468105,1
15.600000,7,12.482152,7.961552,20.973816,29.453216,12.482152,7.961552,1
16.100000,5,10.004152,5.483552,17.107967,25.587368,10.004152,5.483552,1
16.100000,6,12.828658,8.308058,17.107967,25.587368,12.828658,8.308058,1
16.100000,7,12.365557,7.844957,17.107967,25.587368,12.365557,7.844957,1
16.600000,5,12.913392,8.392792,17.450899,25.930299,12.913392,8.392792,1
16.600000,6,9.374926,4.854326,17.450899,25.930299,9.374926,4.854326,1
16.600000,7,13.084162,8.563563,17.450899,25.930299,13.084162,8.563563,1
17.100000,5,13.937341,9.416742,18.363401,26.842801,13.937341,9.416742,1
17.100000,6,13.219694,8.699094,18.363401,26.842801,13.219694,8.699094,1
17.100000,7,8.247575,3.726975,18.363401,26.842801,8.247575,3.726975,1
17.600000,5,14.811714,10.291114,15.783009,24.262409,14.811714,10.291114,1
17.600000,6,12.497304,7.976704,15.783009,24.262409,12.497304,7.976704,1
17.600000,7,10.806772,6.286172,15.783009,24.262409,10.806772,6.286172,1
18.100000,5,12.503296,7.982696,17.556405,26.035805,12.503296,7.982696,1
18.100000,6,12.179302,7.658702,17.556405,26.035805,12.179302,7.658702,1
18.100000,7,10.968394,6.447795,17.556405,26.035805,10.968394,6.447795,1
18.600000,5,10.435005,5.914405,13.142537,21.621937,10.435005,5.914405,1
18.600000,6,12.704374,8.183774,13.142537,21.621937,12.704374,8.183774,1
18.600000,7,13.677936,9.157336,13.142537,21.621937,13.142537,9.157336,1
19.100000,5,13.389003,8.868403,21.056584,29.535985,13.389003,8.868403,1
19.100000,6,10.302740,5.782140,21.056584,29.535985,10.302740,5.782140,1
19.100000,7,13.684554,9.163954,21.056584,29.535985,13.684554,9.163954,1
19.600000,5,9.611345,5.090745,20.937829,29.417229,9.611345,5.090745,1
19.600000,6,11.409847,6.889247,20.937829,29.417229,11.409847,6.889247,1
19.600000,7,13.901293,9.380693,20.937829,29.417229,13.901293,9.380693,1
20.100000,5,15.013163,10.492563,18.544308,27.023709,15.013163,10.492563,1
20.100000,6,12.639068,8.118468,18.544308,27.023709,12.639068,8.118468,1
20.100000,7,13.969129,9.448529,18.544308,27.023709,13.969129,9.448529,1
20.600000,5,8.781200,4.260600,20.057350,28.536750,8.781200,4.260600,1
20.600000,6,10.348178,5.827578,20.057350,28.536750,10.348178,5.827578,1
20.600000,7,10.922121,6.401521,20.057350,28.536750,10.922121,6.401521,1
21.100000,5,13.029902,8.509302,16.327115,24.806515,13.029902,8.509302,1
21.100000,6,10.944100,6.423500,16.327115,24.806515,10.944100,6.423500,1
21.100000,7,13.365451,8.844851,16.327115,24.806515,13.365451,8.844851,1
21.600000,5,13.577832,9.057232,17.875168,26.354568,13.577832,9.057232,1
21.600000,6,15.307859,10.787260,17.875168,26.354568,15.307859,10.787260,1
21.600000,7,11.726071,7.205471,17.875168,26.354568,11.726071,7.205471,1
22.100000,5,12.778205,8.257605,18.773938,27.253338,12.778205,8.257605,1
22.100000,6,11.875576,7.354976,18.773938,27.253338,11.875576,7.354976,1
22.100000,7,11.831103,7.310503,18.773938,27.253338,11.831103,7.310503,1
22.600000,5,10.795140,6.274541,17.773166,26.252566,10.795140,6.274541,1
22.600000,6,12.203858,7.683258,17.773166,26.252566,12.203858,7.683258,1
22.600000,7,14.036945,9.516345,17.773166,26.252566,14.036945,9.516345,1
23.100000,5,10.958609,6.438009,16.511053,24.990453,10.958609,6.438009,1
23.100000,6,12.957686,8.437086,16.511053,24.990453,12.957686,8.437086,1
23.100000,7,11.939642,7.419042,16.511053,24.990453,11.939642,7.419042,1
23.600000,5,13.964934,9.444334,13.116152,21.595552,13.116152,9.444334,1
23.600000,6,11.569424,7.048824,13.116152,21.595552,11.569424,7.048824,1
23.600000,7,11.848072,7.327472,13.116152,21.595552,11.848072,7.327472,1
24.100000,5,4.405662,-0.114937,20.302057,28.781457,4.405662,-0.114937,0
24.100000,6,12.772679,8.252079,20.302057,28.781457,12.772679,8.252079,1
24.100000,7,14.384989,9.864389,20.302057,28.781457,14.384989,9.864389,1
24.600000,5,14.743251,10.222651,19.512522,27.991922,14.743251,10.222651,1
24.600000,6,14.083741,9.563141,19.512522,27.991922,14.083741,9.563141,1
24.600000,7,10.780302,6.259702,19.512522,27.991922,10.780302,6.259702,1
25.100000,5,13.852850,9.332250,17.258395,25.737795,13.852850,9.332250,1
25.100000,6,10.744703,6.224103,17.258395,25.737795,10.744703,6.224103,1
25.100000,7,12.938632,8.418032,17.258395,25.737795,12.938632,8.418032,1
25.600000,5,10.677502,6.156903,17.609928,26.089328,10.677502,6.156903,1
25.600000,6,13.357657,8.837057,17.609928,26.089328,13.357657,8.837057,1
25.600000,7,13.263532,8.742932,17.609928,26.089328,13.263532,8.742932,1
26.100000,5,9.665963,5.145363,17.713960,26.193360,9.665963,5.145363,1
26.100000,6,12.220744,7.700144,17.713960,26.193360,12.220744,7.700144,1
26.100000,7,13.489737,8.969137,17.713960,26.193360,13.489737,8.969137,1
26.600000,5,13.659084,9.138484,15.070013,23.549413,13.659084,9.138484,1
26.600000,6,12.475367,7.954767,15.070013,23.549413,12.475367,7.954767,1
26.600000,7,14.117612,9.597012,15.070013,23.549413,14.117612,9.597012,1
27.100000,5,10.490137,5.969537,17.531526,26.010926,10.490137,5.969537,1
27.100000,6,12.871950,8.351350,17.531526,26.010926,12.871950,8.351350,1
27.100000,7,10.848481,6.327881,17.531526,26.010926,10.848481,6.327881,1
27.600000,5,11.512173,6.991573,18.654287,27.133687,11.512173,6.991573,1
