Time,UE,Dir,Delay,Jitter,Throughput,PDR
4,0,DL,0,0,0,0
4,0,UL,0,0,0,0
4,1,DL,0,0,0,0
4,1,UL,0,0,0,0
4,2,DL,0,0,0,0
4,2,UL,0,0,0,0
4,3,DL,0,0,0,0
4,3,UL,0,0,0,0
4,4,DL,0,0,0,0
4,4,UL,0,0,0,0
4,5,DL,0,0,0,0
4,5,UL,0,0,0,0
4,6,DL,0,0,0,0
4,6,UL,0,0,0,0
4,7,DL,0,0,0,0
4,7,UL,0,0,0,0
4,8,DL,0,0,0,0
4,8,UL,0,0,0,0
4,9,DL,0,0,0,0
4,9,UL,0,0,0,0
4,10,DL,0,0,0,0
4,10,UL,0,0,0,0
4,11,DL,0,0,0,0
4,11,UL,0,0,0,0
4,12,DL,0,0,0,0
4,12,UL,0,0,0,0
4,13,DL,0,0,0,0
4,13,UL,0,0,0,0
4,14,DL,0,0,0,0
4,14,UL,0,0,0,0
4,15,DL,0,0,0,0
4,15,UL,0,0,0,0
4,16,DL,0,0,0,0
4,16,UL,0,0,0,0
4,17,DL,0,0,0,0
4,17,UL,0,0,0,0
4,18,DL,0,0,0,0
4,18,UL,0,0,0,0
4,19,DL,0,0,0,0
4,19,UL,0,0,0,0
4,20,DL,0,0,0,0
4,20,UL,0,0,0,0
4,21,DL,0,0,0,0
4,21,UL,0,0,0,0
4,22,DL,0,0,0,0
4,22,UL,0,0,0,0
4,23,DL,0,0,0,0
4,23,UL,0,0,0,0
4,24,DL,0,0,0,0
4,24,UL,0,0,0,0
4,25,DL,0,0,0,0
4,25,UL,0,0,0,0
4,26,DL,0,0,0,0
4,26,UL,0,0,0,0
4,27,DL,0,0,0,0
4,27,UL,0,0,0,0
4,28,DL,0,0,0,0
4,28,UL,0,0,0,0
4,29,DL,0,0,0,0
4,29,UL,0,0,0,0
4,30,DL,0,0,0,0
4,30,UL,0,0,0,0
4,31,DL,0,0,0,0
4,31,UL,0,0,0,0
4,32,DL,0,0,0,0
4,32,UL,0,0,0,0
4,33,DL,0,0,0,0
4,33,UL,0,0,0,0
4,34,DL,0,0,0,0
4,34,UL,0,0,0,0
4,35,DL,0,0,0,0
4,35,UL,0,0,0,0
4,36,DL,0,0,0,0
4,36,UL,0,0,0,0
4,37,DL,0,0,0,0
4,37,UL,0,0,0,0
4,38,DL,0,0,0,0
4,38,UL,0,0,0,0
4,39,DL,0,0,0,0
4,39,UL,0,0,0,0
4,40,DL,0,0,0,0
4,40,UL,0,0,0,0
4,41,DL,0,0,0,0
4,41,UL,0,0,0,0
4,42,DL,0,0,0,0
4,42,UL,0,0,0,0
4,43,DL,0,0,0,0
4,43,UL,0,0,0,0
4,44,DL,0,0,0,0
4,44,UL,0,0,0,0
4,45,DL,0,0,0,0
4,45,UL,0,0,0,0
4,46,DL,0,0,0,0
4,46,UL,0,0,0,0
4,47,DL,0,0,0,0
4,47,UL,0,0,0,0
4,48,DL,0,0,0,0
4,48,UL,0,0,0,0
4,49,DL,0,0,0,0
4,49,UL,0,0,0,0
6,0,DL,0,0,0,0
6,0,UL,0,0,0,0
6,1,DL,0,0,0,0
6,1,UL,0,0,0,0
6,2,DL,0,0,0,0
6,2,UL,0,0,0,0
6,3,DL,0,0,0,0
6,3,UL,0,0,0,0
6,4,DL,0,0,0,0
6,4,UL,0,0,0,0
6,5,DL,0,0,0,0
6,5,UL,0,0,0,0
6,6,DL,0,0,0,0
6,6,UL,0,0,0,0
6,7,DL,0,0,0,0
6,7,UL,0,0,0,0
6,8,DL,0,0,0,0
6,8,UL,0,0,0,0
6,9,DL,0,0,0,0
6,9,UL,0,0,0,0
6,10,DL,0,0,0,0
6,10,UL,0,0,0,0
6,11,DL,0,0,0,0
6,11,UL,0,0,0,0
6,12,DL,0,0,0,0
6,12,UL,0,0,0,0
6,13,DL,0,0,0,0
6,13,UL,0,0,0,0
6,14,DL,0.0175681,0.0152128,0.184311,94
6,14,UL,0,0,0,0
6,15,DL,0,0,0,0
6,15,UL,0,0,0,0
6,16,DL,0,0,0,0
6,16,UL,0,0,0,0
6,17,DL,0,0,0,0
6,17,UL,0,0,0,0
6,18,DL,0,0,0,0
6,18,UL,0,0,0,0
6,19,DL,0,0,0,0
6,19,UL,0,0,0,0
6,20,DL,0,0,0,0
6,20,UL,0,0,0,0
6,21,DL,0,0,0,0
6,21,UL,0,0,0,0
6,22,DL,0,0,0,0
6,22,UL,0,0,0,0
6,23,DL,0,0,0,0
6,23,UL,0,0,0,0
6,24,DL,0,0,0,0
6,24,UL,0,0,0,0
6,25,DL,0,0,0,0
6,25,UL,0,0,0,0
6,26,DL,0,0,0,0
6,26,UL,0,0,0,0
6,27,DL,0,0,0,0
6,27,UL,0,0,0,0
6,28,DL,0,0,0,0
6,28,UL,0,0,0,0
6,29,DL,0,0,0,0
6,29,UL,0,0,0,0
6,30,DL,0,0,0,0
6,30,UL,0,0,0,0
6,31,DL,0,0,0,0
6,31,UL,0,0,0,0
6,32,DL,0,0,0,0
6,32,UL,0,0,0,0
6,33,DL,0,0,0,0
6,33,UL,0,0,0,0
6,34,DL,0,0,0,0
6,34,UL,0,0,0,0
6,35,DL,0,0,0,0
6,35,UL,0,0,0,0
6,36,DL,0,0,0,0
6,36,UL,0,0,0,0
6,37,DL,0,0,0,0
6,37,UL,0,0,0,0
6,38,DL,0,0,0,0
6,38,UL,0,0,0,0
6,39,DL,0,0,0,0
6,39,UL,0,0,0,0
6,40,DL,0,0,0,0
6,40,UL,0,0,0,0
6,41,DL,0,0,0,0
6,41,UL,0,0,0,0
6,42,DL,0,0,0,0
6,42,UL,0,0,0,0
6,43,DL,0,0,0,0
6,43,UL,0,0,0,0
6,44,DL,0,0,0,0
6,44,UL,0,0,0,0
6,45,DL,0,0,0,0
6,45,UL,0,0,0,0
6,46,DL,0,0,0,0
6,46,UL,0,0,0,0
6,47,DL,0,0,0,0
6,47,UL,0,0,0,0
6,48,DL,0,0,0,0
6,48,UL,0,0,0,0
6,49,DL,0,0,0,0
6,49,UL,0,0,0,0
