Time,CellId,ServiceDlSnrDb,ServiceUlSnrDb,FeederDlSnrDb,FeederUlSnrDb,BackhaulDlSnrDb,BackhaulUlSnrDb,BackhaulHealthy
0.100000,5,10.852754,6.332154,18.267232,26.746632,10.852754,6.332154,1
0.100000,6,10.988754,6.468154,18.267232,26.746632,10.988754,6.468154,1
0.100000,7,11.725085,7.204485,18.267232,26.746632,11.725085,7.204485,1
0.600000,5,13.239665,8.719065,20.005874,28.485274,13.239665,8.719065,1
0.600000,6,12.695593,8.174993,20.005874,28.485274,12.695593,8.174993,1
0.600000,7,11.750661,7.230061,20.005874,28.485274,11.750661,7.230061,1
1.100000,5,12.817325,8.296725,20.342531,28.821931,12.817325,8.296725,1
1.100000,6,13.157064,8.636464,20.342531,28.821931,13.157064,8.636464,1
1.100000,7,13.466134,8.945535,20.342531,28.821931,13.466134,8.945535,1
1.600000,5,14.244427,9.723827,17.369550,25.848950,14.244427,9.723827,1
1.600000,6,11.647649,7.127049,17.369550,25.848950,11.647649,7.127049,1
1.600000,7,9.513805,4.993205,17.369550,25.848950,9.513805,4.993205,1
2.100000,5,13.432931,8.912331,20.555794,29.035194,13.432931,8.912331,1
2.100000,6,10.246087,5.725487,20.555794,29.035194,10.246087,5.725487,1
2.100000,7,13.439405,8.918805,20.555794,29.035194,13.439405,8.918805,1
2.600000,5,12.974413,8.453813,20.749866,29.229266,12.974413,8.453813,1
2.600000,6,14.126693,9.606093,20.749866,29.229266,14.126693,9.606093,1
2.600000,7,11.347934,6.827334,20.749866,29.229266,11.347934,6.827334,1
3.100000,5,14.541341,10.020741,20.546697,29.026097,14.541341,10.020741,1
3.100000,6,16.386337,11.865737,20.546697,29.026097,16.386337,11.865737,1
3.100000,7,13.233026,8.712426,20.546697,29.026097,13.233026,8.712426,1
3.600000,5,12.859547,8.338947,20.000686,28.480086,12.859547,8.338947,1
3.600000,6,10.672489,6.151890,20.000686,28.480086,10.672489,6.151890,1
3.600000,7,7.967820,3.447220,20.000686,28.480086,7.967820,3.447220,1
4.100000,5,12.313430,7.792830,19.950103,28.429503,12.313430,7.792830,1
4.100000,6,12.268074,7.747474,19.950103,28.429503,12.268074,7.747474,1
4.100000,7,10.069121,5.548521,19.950103,28.429503,10.069121,5.548521,1
4.600000,5,13.665228,9.144628,13.847362,22.326762,13.665228,9.144628,1
4.600000,6,12.923697,8.403097,13.847362,22.326762,12.923697,8.403097,1
4.600000,7,10.976469,6.455869,13.847362,22.326762,10.976469,6.455869,1
5.100000,5,11.922904,7.402305,18.351662,26.831063,11.922904,7.402305,1
5.100000,6,10.480285,5.959685,18.351662,26.831063,10.480285,5.959685,1
5.100000,7,13.151020,8.630420,18.351662,26.831063,13.151020,8.630420,1
5.600000,5,10.079864,5.559264,18.513986,26.993386,10.079864,5.559264,1
5.600000,6,12.696678,8.176078,18.513986,26.993386,12.696678,8.176078,1
5.600000,7,12.170980,7.650380,18.513986,26.993386,12.170980,7.650380,1
6.100000,5,7.093805,2.573205,17.054143,25.533543,7.093805,2.573205,1
6.100000,6,13.082455,8.561856,17.054143,25.533543,13.082455,8.561856,1
6.100000,7,12.640129,8.119529,17.054143,25.533543,12.640129,8.119529,1
6.600000,5,12.123553,7.602953,18.611234,27.090634,12.123553,7.602953,1
6.600000,6,13.093158,8.572558,18.611234,27.090634,13.093158,8.572558,1
6.600000,7,15.186039,10.665439,18.611234,27.090634,15.186039,10.665439,1
7.100000,5,9.628149,5.107549,19.243930,27.723330,9.628149,5.107549,1
7.100000,6,13.461649,8.941049,19.243930,27.723330,13.461649,8.941049,1
7.100000,7,15.646712,11.126112,19.243930,27.723330,15.646712,11.126112,1
7.600000,5,10.113885,5.593286,14.797199,23.276599,10.113885,5.593286,1
7.600000,6,14.137222,9.616622,14.797199,23.276599,14.137222,9.616622,1
7.600000,7,12.956274,8.435674,14.797199,23.276599,12.956274,8.435674,1
8.100000,5,12.078943,7.558343,19.657373,28.136773,12.078943,7.558343,1
8.100000,6,14.272137,9.751537,19.657373,28.136773,14.272137,9.751537,1
8.100000,7,12.301471,7.780871,19.657373,28.136773,12.301471,7.780871,1
8.600000,5,15.014182,10.493582,19.786227,28.265627,15.014182,10.493582,1
8.600000,6,13.039250,8.518650,19.786227,28.265627,13.039250,8.518650,1
8.600000,7,9.833617,5.313017,19.786227,28.265627,9.833617,5.313017,1
9.100000,5,11.616962,7.096362,17.884083,26.363483,11.616962,7.096362,1
9.100000,6,11.764630,7.244030,17.884083,26.363483,11.764630,7.244030,1
9.100000,7,13.624379,9.103779,17.884083,26.363483,13.624379,9.103779,1
9.600000,5,12.374294,7.853694,19.395594,27.874994,12.374294,7.853694,1
9.600000,6,12.079072,7.558472,19.395594,27.874994,12.079072,7.558472,1
9.600000,7,15.097774,10.577174,19.395594,27.874994,15.097774,10.577174,1
10.100000,5,12.801568,8.280968,19.782965,28.262366,12.801568,8.280968,1
10.100000,6,12.198191,7.677591,19.782965,28.262366,12.198191,7.677591,1
10.100000,7,12.961997,8.441397,19.782965,28.262366,12.961997,8.441397,1
10.600000,5,12.114645,7.594045,20.310565,28.789965,12.114645,7.594045,1
10.600000,6,13.538964,9.018364,20.310565,28.789965,13.538964,9.018364,1
10.600000,7,11.404148,6.883548,20.310565,28.789965,11.404148,6.883548,1
11.100000,5,12.930744,8.410145,19.472392,27.951792,12.930744,8.410145,1
11.100000,6,12.314867,7.794267,19.472392,27.951792,12.314867,7.794267,1
11.100000,7,11.561437,7.040837,19.472392,27.951792,11.561437,7.040837,1
11.600000,5,13.290059,8.769459,17.435688,25.915088,13.290059,8.769459,1
11.600000,6,14.736420,10.215820,17.435688,25.915088,14.736420,10.215820,1
11.600000,7,12.011100,7.490501,17.435688,25.915088,12.011100,7.490501,1
12.100000,5,12.393941,7.873341,19.780524,28.259924,12.393941,7.873341,1
12.100000,6,13.461530,8.940931,19.780524,28.259924,13.461530,8.940931,1
12.100000,7,9.741553,5.220953,19.780524,28.259924,9.741553,5.220953,1
12.600000,5,13.141774,8.621174,19.001855,27.481255,13.141774,8.621174,1
12.600000,6,15.303126,10.782526,19.001855,27.481255,15.303126,10.782526,1
12.600000,7,15.415541,10.894941,19.001855,27.481255,15.415541,10.894941,1
13.100000,5,12.695090,8.174490,17.059021,25.538421,12.695090,8.174490,1
13.100000,6,14.878870,10.358270,17.059021,25.538421,14.878870,10.358270,1
13.100000,7,13.013704,8.493104,17.059021,25.538421,13.013704,8.493104,1
13.600000,5,15.947962,11.427362,18.834006,27.313407,15.947962,11.427362,1
13.600000,6,6.703942,2.183343,18.834006,27.313407,6.703942,2.183343,1
13.600000,7,11.683812,7.163212,18.834006,27.313407,11.683812,7.163212,1
14.100000,5,13.008291,8.487691,16.797809,25.277210,13.008291,8.487691,1
14.100000,6,11.488731,6.968131,16.797809,25.277210,11.488731,6.968131,1
14.100000,7,13.670192,9.149592,16.797809,25.277210,13.670192,9.149592,1
14.600000,5,14.973087,10.452487,19.925966,28.405366,14.973087,10.452487,1
14.600000,6,12.493466,7.972866,19.925966,28.405366,12.493466,7.972866,1
14.600000,7,13.429558,8.908958,19.925966,28.405366,13.429558,8.908958,1
15.100000,5,12.731682,8.211082,20.669822,29.149222,12.731682,8.211082,1
15.100000,6,10.381485,5.860885,20.669822,29.149222,10.381485,5.860885,1
15.100000,7,12.747688,8.227088,20.669822,29.149222,12.747688,8.227088,1
15.600000,5,13.705843,9.185243,20.973816,29.453216,13.705843,9.185243,1
15.600000,6,14.122393,9.601793,20.973816,29.453216,14.122393,9.601793,1
15.600000,7,13.193313,8.672714,20.973816,29.453216,13.193313,8.672714,1
16.100000,5,15.102951,10.582351,17.107967,25.587368,15.102951,10.582351,1
16.100000,6,10.595023,6.074424,17.107967,25.587368,10.595023,6.074424,1
16.100000,7,12.504319,7.983719,17.107967,25.587368,12.504319,7.983719,1
16.600000,5,12.534010,8.013411,17.450899,25.930299,12.534010,8.013411,1
16.600000,6,13.979104,9.458504,17.450899,25.930299,13.979104,9.458504,1
16.600000,7,12.539515,8.018915,17.450899,25.930299,12.539515,8.018915,1
17.100000,5,13.453226,8.932626,18.363401,26.842801,13.453226,8.932626,1
17.100000,6,10.393055,5.872455,18.363401,26.842801,10.393055,5.872455,1
17.100000,7,13.217952,8.697352,18.363401,26.842801,13.217952,8.697352,1
17.600000,5,12.855879,8.335279,15.783009,24.262409,12.855879,8.335279,1
17.600000,6,10.895856,6.375256,15.783009,24.262409,10.895856,6.375256,1
17.600000,7,11.353332,6.832732,15.783009,24.262409,11.353332,6.832732,1
18.100000,5,11.780819,7.260219,17.556405,26.035805,11.780819,7.260219,1
18.100000,6,10.229264,5.708664,17.556405,26.035805,10.229264,5.708664,1
18.100000,7,10.865481,6.344881,17.556405,26.035805,10.865481,6.344881,1
18.600000,5,12.858292,8.337692,13.142537,21.621937,12.858292,8.337692,1
18.600000,6,11.769137,7.248537,13.142537,21.621937,11.769137,7.248537,1
18.600000,7,9.241809,4.721210,13.142537,21.621937,9.241809,4.721210,1
19.100000,5,13.304660,8.784060,21.056584,29.535985,13.304660,8.784060,1
19.100000,6,10.765047,6.244447,21.056584,29.535985,10.765047,6.244447,1
19.100000,7,13.048198,8.527598,21.056584,29.535985,13.048198,8.527598,1
19.600000,5,14.717108,10.196508,20.937829,29.417229,14.717108,10.196508,1
19.600000,6,10.371341,5.850741,20.937829,29.417229,10.371341,5.850741,1
19.600000,7,14.137919,9.617319,20.937829,29.417229,14.137919,9.617319,1
20.100000,5,14.396859,9.876259,18.544308,27.023709,14.396859,9.876259,1
20.100000,6,13.949622,9.429022,18.544308,27.023709,13.949622,9.429022,1
20.100000,7,13.068882,8.548282,18.544308,27.023709,13.068882,8.548282,1
20.600000,5,11.063658,6.543058,20.057350,28.536750,11.063658,6.543058,1
20.600000,6,12.968336,8.447737,20.057350,28.536750,12.968336,8.447737,1
20.600000,7,11.981598,7.460998,20.057350,28.536750,11.981598,7.460998,1
21.100000,5,11.976221,7.455621,16.327115,24.806515,11.976221,7.455621,1
21.100000,6,13.748680,9.228080,16.327115,24.806515,13.748680,9.228080,1
21.100000,7,8.042456,3.521856,16.327115,24.806515,8.042456,3.521856,1
21.600000,5,11.760279,7.239679,17.875168,26.354568,11.760279,7.239679,1
21.600000,6,14.904984,10.384384,17.875168,26.354568,14.904984,10.384384,1
21.600000,7,11.867661,7.347061,17.875168,26.354568,11.867661,7.347061,1
22.100000,5,13.214949,8.694349,18.773938,27.253338,13.214949,8.694349,1
22.100000,6,13.387526,8.866926,18.773938,27.253338,13.387526,8.866926,1
22.100000,7,12.626353,8.105753,18.773938,27.253338,12.626353,8.105753,1
22.600000,5,11.930091,7.409491,17.773166,26.252566,11.930091,7.409491,1
22.600000,6,11.889371,7.368771,17.773166,26.252566,11.889371,7.368771,1
22.600000,7,12.655270,8.134670,17.773166,26.252566,12.655270,8.134670,1
23.100000,5,10.969163,6.448563,16.511053,24.990453,10.969163,6.448563,1
23.100000,6,11.947088,7.426488,16.511053,24.990453,11.947088,7.426488,1
23.100000,7,13.550363,9.029763,16.511053,24.990453,13.550363,9.029763,1
23.600000,5,13.970035,9.449435,13.116152,21.595552,13.116152,9.449435,1
23.600000,6,11.951883,7.431283,13.116152,21.595552,11.951883,7.431283,1
23.600000,7,11.467178,6.946578,13.116152,21.595552,11.467178,6.946578,1
24.100000,5,7.179327,2.658727,20.302057,28.781457,7.179327,2.658727,1
24.100000,6,13.103025,8.582425,20.302057,28.781457,13.103025,8.582425,1
24.100000,7,15.184456,10.663856,20.302057,28.781457,15.184456,10.663856,1
24.600000,5,14.675505,10.154905,19.512522,27.991922,14.675505,10.154905,1
24.600000,6,12.979036,8.458436,19.512522,27.991922,12.979036,8.458436,1
24.600000,7,9.666544,5.145944,19.512522,27.991922,9.666544,5.145944,1
25.100000,5,14.091235,9.570635,17.258395,25.737795,14.091235,9.570635,1
25.100000,6,9.511015,4.990415,17.258395,25.737795,9.511015,4.990415,1
25.100000,7,14.073230,9.552630,17.258395,25.737795,14.073230,9.552630,1
25.600000,5,12.024919,7.504319,17.609928,26.089328,12.024919,7.504319,1
25.600000,6,13.214570,8.693970,17.609928,26.089328,13.214570,8.693970,1
25.600000,7,12.254510,7.733910,17.609928,26.089328,12.254510,7.733910,1
26.100000,5,13.473970,8.953370,17.713960,26.193360,13.473970,8.953370,1
26.100000,6,12.597303,8.076703,17.713960,26.193360,12.597303,8.076703,1
26.100000,7,13.229437,8.708837,17.713960,26.193360,13.229437,8.708837,1
26.600000,5,9.097240,4.576640,15.070013,23.549413,9.097240,4.576640,1
26.600000,6,12.507552,7.986952,15.070013,23.549413,12.507552,7.986952,1
26.600000,7,14.127554,9.606955,15.070013,23.549413,14.127554,9.606955,1
27.100000,5,15.878969,11.358369,17.531526,26.010926,15.878969,11.358369,1
27.100000,6,12.833586,8.312986,17.531526,26.010926,12.833586,8.312986,1
27.100000,7,14.674401,10.153801,17.531526,26.010926,14.674401,10.153801,1
27.600000,5,14.935585,10.414985,18.654287,27.133687,14.935585,10.414985,1
